name,line,PlaceIsol,drug,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,,
220120_YST6_R21_A_FLC_48hr,YST6,R21,FLC,1,1,1,NA,NA,NA,2,,
220120_YST6_R21_A1_FLC_48hr.tx,YST6,R21,FLC,1,1,1,NA,NA,NA,1.2,,
220120_YST6_R21_B_FLC_48hr,YST6,R21,FLC,1,1,1,NA,NA,NA,2,,
220120_YST6_R21_B1_FLC_48hr.tx,YST6,R21,FLC,1,1,1,NA,NA,NA,2,,
220120_YST6_R22_A_FLC_48hr,YST6,R22,FLC,1,1,1,NA,NA,NA,0.8,,
220120_YST6_R22_A1_FLC_48hr.tx,YST6,R22,FLC,1,1,1,NA,NA,NA,0.9,,
220120_YST6_R22_B_FLC_48hr,YST6,R22,FLC,0,1,18,NA,NA,0.79,5.4,,
220120_YST6_R22_B1_FLC_48hr.tx,YST6,R22,FLC,1,1,1,NA,NA,NA,0.3,,
220120_YST6_R23_A_FLC_48hr,YST6,R23,FLC,1,1,1,NA,NA,NA,1.9,,
220120_YST6_R23_A1_FLC_48hr.tx,YST6,R23,FLC,1,1,1,NA,NA,NA,1.9,,
220120_YST6_R23_B_FLC_48hr,YST6,R23,FLC,1,1,1,NA,NA,NA,2.2,,
220120_YST6_R23_B1_FLC_48hr.tx,YST6,R23,FLC,1,1,1,NA,NA,NA,2.4,,
220120_YST6_R24_A_FLC_48hr,YST6,R24,FLC,1,1,1,NA,NA,NA,2.1,,
220120_YST6_R24_A1_FLC_48hr.tx,YST6,R24,FLC,1,1,1,NA,NA,NA,2.4,,
220120_YST6_R24_B_FLC_48hr,YST6,R24,FLC,1,1,1,NA,NA,NA,1.2,,
220120_YST6_R24_B1_FLC_48hr.tx,YST6,R24,FLC,1,1,1,NA,NA,NA,2.5,,
211126_YST6_V1_A_BA_48h,YST6,V1,BA,6,11,12,0.09,0.29,0.27,27.6,,
220113_YST6_V1_A_BA_48hr,YST6,V1,BA,4,7,9,0.21,0.39,0.35,37,,
220113_YST6_V1_B_BA_48hr,YST6,V1,BA,5,8,9,0.16,0.29,0.24,45,,
211126_YST6_V2_A_BA_48h,YST6,V2,BA,6,9,18,0.21,0.3,0.53,22.9,,
211126_YST6_V2_B_BA_48h,YST6,V2,BA,6,9,10,0.23,0.32,0.29,19.8,,
220113_YST6_V2_A_BA_48hr,YST6,V2,BA,4,8,9,0.13,0.34,0.3,44.2,,
220113_YST6_V2_B_BA_48hr,YST6,V2,BA,3,7,8,0.32,0.36,0.34,50.9,,
211126_YST6_V3_A_BA_48h,YST6,V3,BA,7,10,13,0.17,0.25,0.31,32.9,,
220113_YST6_V3_A_BA_48hr,YST6,V3,BA,3,5,6,0.26,0.29,0.29,47.9,,
220113_YST6_V3_B_BA_48hr,YST6,V3,BA,4,8,9,0.17,0.27,0.28,56.9,,
211126_YST6_V4_A_BA_48h,YST6,V4,BA,8,10,15,0.16,0.19,0.33,35.3,,
211126_YST6_V4_B_BA_48h,YST6,V4,BA,7,9,11,0.25,0.25,0.33,18.4,,
220113_YST6_V4_A_BA_48hr,YST6,V4,BA,6,9,11,0.07,0.26,0.26,41.9,,
220113_YST6_V4_B_BA_48hr,YST6,V4,BA,4,7,9,0.38,0.34,0.36,28.9,,
211126_YST6_V5_A_BA_48h,YST6,V5,BA,6,11,14,0.16,0.4,0.37,24.2,,
211126_YST6_V5_B_BA_48h,YST6,V5,BA,7,11,13,0.19,0.34,0.31,35.7,,
220113_YST6_V5_A_BA_48hr,YST6,V5,BA,5,8,10,0.15,0.3,0.31,33.4,,
220113_YST6_V5_B_BA_48hr,YST6,V5,BA,6,8,9,0.19,0.24,0.2,44.5,,
