"","name","line","type","replicate","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","DDA","...12"
"1","YST6_R_12_a_BA","YST6","R",12,"BA",9,12,16,0.25,0.25,0.34,25.3,"DDA1",NA
"2","YST6_R_12_a_FLC","YST6","R",12,"FLC",4,9,23,0.33,0.46,0.59,7.6,"DDA1",NA
"3","YST6_R_12_b_BA","YST6","R",12,"BA",6,11,14,0.32,0.38,0.38,25.5,"DDA1",NA
"4","YST6_R_12_b_FLC","YST6","R",12,"FLC",3,6,20,0.53,0.49,0.67,7.4,"DDA1",NA
"5","YST6_R_13_a_FLC","YST6","R",13,"FLC",3,6,15,0.5,0.47,0.64,9.4,"DDA1",NA
"6","YST6_R_13_b_BA","YST6","R",13,"BA",8,12,14,0.21,0.29,0.28,26.3,"DDA1",NA
"7","YST6_R_13_b_FLC","YST6","R",13,"FLC",2,7,25,0.58,0.51,0.73,8.4,"DDA1",NA
"8","YST6_R_14_a_BA","YST6","R",14,"BA",7,10,16,0.22,0.3,0.43,22.1,"DDA1",NA
"9","YST6_R_14_a_FLC","YST6","R",14,"FLC",3,8,16,0.47,0.54,0.67,8.5,"DDA1",NA
"10","YST6_R_15_a_BA","YST6","R",15,"BA",7,11,13,0.28,0.33,0.33,20.3,"DDA1",NA
"11","YST6_R_15_a_FLC","YST6","R",15,"FLC",2,8,22,0.38,0.6,0.66,9.3,"DDA1",NA
"12","YST6_R_15_b_BA","YST6","R",15,"BA",6,10,16,0.38,0.37,0.47,19.2,"DDA1",NA
"13","YST6_R_15_b_FLC","YST6","R",15,"FLC",3,6,18,0.54,0.42,0.65,8.3,"DDA1",NA
"14","YST6_R_16_a_BA","YST6","R",16,"BA",8,11,15,0.26,0.25,0.36,25.2,"DDA1",NA
"15","YST6_R_16_a_FLC","YST6","R",16,"FLC",3,9,23,0.67,0.61,0.64,9.4,"DDA1",NA
"16","YST6_R_16_b_BA","YST6","R",16,"BA",7,11,14,0.24,0.31,0.34,21.6,"DDA1",NA
"17","YST6_R_16_b_FLC","YST6","R",16,"FLC",2,7,23,0.42,0.57,0.68,8.5,"DDA1",NA
"18","YST6_R_17_a_BA","YST6","R",17,"BA",0,4,1,NA,0.69,NA,28.1,"DDA1",NA
"19","YST6_R_17_a_FLC","YST6","R",17,"FLC",3,7,19,0.4,0.44,0.65,6.9,"DDA1",NA
"20","YST6_R_17_b_BA","YST6","R",17,"BA",7,11,16,0.29,0.33,0.39,17.3,"DDA1",NA
"21","YST6_R_17_b_FLC","YST6","R",17,"FLC",1,6,18,NA,0.59,0.73,8.2,"DDA1",NA
"22","YST6_R_18_a_BA","YST6","R",18,"BA",10,12,16,0.16,0.2,0.3,24.1,"DDA1",NA
"23","YST6_R_18_a_FLC","YST6","R",18,"FLC",2,7,25,0.54,0.56,0.66,8.3,"DDA1",NA
"24","YST6_R_18_b_BA","YST6","R",18,"BA",8,11,14,0.22,0.24,0.31,25.7,"DDA1",NA
"25","YST6_R_18_b_FLC","YST6","R",18,"FLC",3,6,17,0.5,0.48,0.67,8.3,"DDA1",NA
"26","YST6_R_19_a_BA","YST6","R",19,"BA",8,11,15,0.26,0.26,0.35,25.3,"DDA1",NA
"27","YST6_R_19_a_FLC","YST6","R",19,"FLC",3,9,25,0.53,0.55,0.63,8.9,"DDA1",NA
"28","YST6_R_19_b_BA","YST6","R",19,"BA",9,12,16,0.22,0.22,0.33,25.1,"DDA1",NA
"29","YST6_R_19_b_FLC","YST6","R",19,"FLC",3,6,18,0.42,0.45,0.65,7.6,"DDA1",NA
"30","YST6_R_20_a_BA","YST6","R",20,"BA",8,11,15,0.36,0.28,0.38,21.8,"DDA1",NA
"31","YST6_R_20_a_FLC","YST6","R",20,"FLC",1,5,9,NA,0.57,0.55,9.8,"DDA1",NA
"32","YST6_R_20_b_BA","YST6","R",20,"BA",8,11,14,0.26,0.27,0.31,22.8,"DDA1",NA
"33","YST6_R_20_b_FLC","YST6","R",20,"FLC",3,6,13,0.46,0.49,0.64,8.5,"DDA1",NA
"34","YST6_R_21_a_BA","YST6","R",21,"BA",6,10,15,0.42,0.35,0.44,15.2,"DDA1",NA
"35","YST6_R_21_a_FLC","YST6","R",21,"FLC",1,6,16,NA,0.62,0.68,8,"DDA1",NA
"36","YST6_R_21_b_BA","YST6","R",21,"BA",9,13,18,0.19,0.24,0.35,26.2,"DDA1",NA
"37","YST6_R_21_b_FLC","YST6","R",21,"FLC",2,7,20,0.5,0.61,0.68,8.9,"DDA1",NA
"38","YST6_R_22_a_BA","YST6","R",22,"BA",9,12,18,0.32,0.29,0.41,24.4,"DDA1",NA
"39","YST6_R_22_a_FLC","YST6","R",22,"FLC",2,8,25,0.45,0.58,0.64,7.5,"DDA1",NA
"40","YST6_R_22_b_BA","YST6","R",22,"BA",4,8,11,0.44,0.49,0.45,12.2,"DDA1",NA
"41","YST6_R_22_b_FLC","YST6","R",22,"FLC",5,15,24,0.48,0.6,0.52,11.7,"DDA1",NA
"42","YST6_R_23_a_BA","YST6","R",23,"BA",7,11,16,0.32,0.36,0.42,17,"DDA1",NA
"43","YST6_R_23_a_FLC","YST6","R",23,"FLC",2,6,22,0.55,0.62,0.7,7,"DDA1",NA
"44","YST6_R_23_b_BA","YST6","R",23,"BA",11,15,20,0.19,0.27,0.34,26,"DDA1",NA
"45","YST6_R_23_b_FLC","YST6","R",23,"FLC",3,6,17,0.71,0.47,0.67,9.1,"DDA1",NA
"46","YST6_R_24_a_BA","YST6","R",24,"BA",6,9,12,0.27,0.33,0.35,23.1,"DDA1",NA
"47","YST6_R_24_a_FLC","YST6","R",24,"FLC",3,6,18,0.33,0.43,0.7,7.8,"DDA1",NA
"48","YST6_R_24_b_BA","YST6","R",24,"BA",7,12,15,0.24,0.35,0.34,22,"DDA1",NA
"49","YST6_R_24_b_FLC","YST6","R",24,"FLC",2,5,11,0.5,0.46,0.61,7.7,"DDA1",NA
"50","YST6_V_07_a_BA","YST6","V",7,"BA",0,0,1,NA,NA,NA,16.8,"DDA1",NA
"51","YST6_V_07_a_FLC","YST6","V",7,"FLC",2,7,13,0.46,0.55,0.66,8.2,"DDA1",NA
"52","YST6_V_07_b_BA","YST6","V",7,"BA",6,10,13,0.43,0.35,0.4,18.4,"DDA1",NA
"53","YST6_V_07_b_FLC","YST6","V",7,"FLC",3,5,15,0.67,0.41,0.64,7.6,"DDA1",NA
"54","YST6_V_08_a_BA","YST6","V",8,"BA",3,7,12,0.38,0.45,0.51,11.7,"DDA1",NA
"55","YST6_V_08_a_FLC","YST6","V",8,"FLC",3,8,21,0.47,0.54,0.68,10.1,"DDA1",NA
"56","YST6_V_08_b_BA","YST6","V",8,"BA",8,12,16,0.17,0.25,0.33,23,"DDA1",NA
"57","YST6_V_08_b_FLC","YST6","V",8,"FLC",2,7,26,0.57,0.61,0.72,8.5,"DDA1",NA
"58","YST6_V_09_a_BA","YST6","V",9,"BA",5,10,13,0.25,0.4,0.38,18.7,"DDA1",NA
"59","YST6_V_09_a_FLC","YST6","V",9,"FLC",2,7,12,0.5,0.51,0.58,9,"DDA1",NA
"60","YST6_V_09_b_BA","YST6","V",9,"BA",10,14,22,0.21,0.26,0.41,25.4,"DDA1",NA
"61","YST6_V_09_b_FLC","YST6","V",9,"FLC",1,5,18,NA,0.55,0.74,9.1,"DDA1",NA
"62","YST6_V_10_a_BA","YST6","V",10,"BA",11,14,21,0.13,0.19,0.35,27,"DDA1",NA
"63","YST6_V_10_a_FLC","YST6","V",10,"FLC",2,6,19,0.57,0.55,0.67,10.2,"DDA1",NA
"64","YST6_V_10_b_BA","YST6","V",10,"BA",10,13,19,0.16,0.22,0.36,26.3,"DDA1",NA
"65","YST6_V_10_b_FLC","YST6","V",10,"FLC",2,7,13,0.5,0.53,0.62,10,"DDA1",NA
"66","YST6_V_11_a_BA","YST6","V",11,"BA",8,12,16,0.24,0.31,0.36,21.1,"DDA1",NA
"67","YST6_V_11_a_FLC","YST6","V",11,"FLC",3,6,15,0.46,0.42,0.61,8.8,"DDA1",NA
"68","YST6_V_11_b_BA","YST6","V",11,"BA",9,12,17,0.21,0.25,0.38,25.8,"DDA1",NA
"69","YST6_V_11_b_FLC","YST6","V",11,"FLC",1,4,19,NA,0.56,0.77,7.3,"DDA1",NA
"70","YST6_V_12_a_BA","YST6","V",12,"BA",9,11,15,0.17,0.2,0.31,22.7,"DDA1",NA
"71","YST6_V_12_a_FLC","YST6","V",12,"FLC",2,5,15,0.67,0.45,0.67,8.2,"DDA1",NA
"72","YST6_V_12_b_BA","YST6","V",12,"BA",9,12,17,0.2,0.27,0.37,26.1,"DDA1",NA
"73","YST6_V_12_b_FLC","YST6","V",12,"FLC",4,8,23,0.5,0.49,0.65,7.3,"DDA1",NA
"74","YST6_V_13_a_BA","YST6","V",13,"BA",10,13,15,0.15,0.21,0.25,34.5,"DDA1",NA
"75","YST6_V_13_a_FLC","YST6","V",13,"FLC",3,6,22,0.53,0.46,0.73,8.2,"DDA1",NA
"76","YST6_V_13_b_BA","YST6","V",13,"BA",8,12,20,0.18,0.27,0.44,23.6,"DDA1",NA
"77","YST6_V_13_b_FLC","YST6","V",13,"FLC",3,7,19,0.38,0.45,0.62,8.5,"DDA1",NA
"78","YST6_V_14_a_BA","YST6","V",14,"BA",8,11,16,0.33,0.3,0.39,25.5,"DDA1",NA
"79","YST6_V_14_a_FLC","YST6","V",14,"FLC",3,8,19,0.44,0.55,0.69,7.7,"DDA1",NA
"80","YST6_V_14_b_BA","YST6","V",14,"BA",5,10,13,0.41,0.41,0.38,20.5,"DDA1",NA
"81","YST6_V_14_b_FLC","YST6","V",14,"FLC",2,6,13,0.44,0.48,0.6,8.7,"DDA1",NA
"82","YST6_V_15_a_BA","YST6","V",15,"BA",7,10,15,0.38,0.3,0.43,18.4,"DDA1",NA
"83","YST6_V_15_a_FLC","YST6","V",15,"FLC",3,6,20,0.38,0.44,0.66,7.9,"DDA1",NA
"84","YST6_V_15_b_BA","YST6","V",15,"BA",9,12,17,0.15,0.21,0.36,24,"DDA1",NA
"85","YST6_V_15_b_FLC","YST6","V",15,"FLC",3,6,18,0.59,0.49,0.65,9.2,"DDA1",NA
"86","YST6_V_16_a_BA","YST6","V",16,"BA",9,12,16,0.17,0.23,0.32,24.3,"DDA1",NA
"87","YST6_V_16_a_FLC","YST6","V",16,"FLC",2,5,10,0.8,0.52,0.63,11.7,"DDA1",NA
"88","YST6_V_16_b_BA","YST6","V",16,"BA",11,14,18,0.14,0.18,0.29,28.5,"DDA1",NA
"89","YST6_V_16_b_FLC","YST6","V",16,"FLC",2,7,14,0.8,0.57,0.65,10.8,"DDA1",NA
"90","YST6_V_17_a_BA","YST6","V",17,"BA",9,12,15,0.16,0.24,0.3,27.2,"DDA1",NA
"91","YST6_V_17_a_FLC","YST6","V",17,"FLC",2,5,11,0.7,0.52,0.62,8.1,"DDA1",NA
"92","YST6_V_17_b_BA","YST6","V",17,"BA",9,13,17,0.23,0.25,0.32,19.8,"DDA1",NA
"93","YST6_V_17_b_FLC","YST6","V",17,"FLC",2,7,14,0.6,0.57,0.64,9.8,"DDA1",NA
"94","YST6_V_18_a_BA","YST6","V",18,"BA",9,13,15,0.11,0.24,0.24,27.6,"DDA1",NA
"95","YST6_V_18_a_FLC","YST6","V",18,"FLC",2,5,19,0.6,0.55,0.71,6.8,"DDA1",NA
"96","YST6_V_18_b_BA","YST6","V",18,"BA",9,12,16,0.16,0.23,0.3,29.8,"DDA1",NA
"97","YST6_V_18_b_FLC","YST6","V",18,"FLC",3,8,14,0.47,0.54,0.62,8.4,"DDA1",NA
"98","YST6_R_1_a_BA","YST6","R",1,"BA",7,11,13,0.26,0.32,0.33,24.3,"DDA2",NA
"99","YST6_R_1_a_FLC","YST6","R",1,"FLC",2,7,20,0.5,0.55,0.65,8.8,"DDA2",NA
"100","YST6_R_1_b_BA","YST6","R",1,"BA",9,11,16,0.17,0.16,0.34,25.2,"DDA2",NA
"101","YST6_R_1_b_FLC","YST6","R",1,"FLC",3,6,15,0.43,0.46,0.62,8.9,"DDA2",NA
"102","YST6_R_10_a_BA","YST6","R",10,"BA",10,12,15,0.23,0.22,0.27,35.6,"DDA2",NA
"103","YST6_R_10_a_FLC","YST6","R",10,"FLC",7,17,23,0.3,0.45,0.43,15.7,"DDA2",NA
"104","YST6_R_10_b_BA","YST6","R",10,"BA",8,11,15,0.16,0.22,0.32,23.6,"DDA2",NA
"105","YST6_R_10_b_FLC","YST6","R",10,"FLC",4,8,21,0.38,0.45,0.58,8.1,"DDA2",NA
"106","YST6_R_11_a_BA","YST6","R",11,"BA",9,12,19,0.14,0.21,0.38,25,"DDA2",NA
"107","YST6_R_11_a_FLC","YST6","R",11,"FLC",2,8,24,0.45,0.58,0.68,7.9,"DDA2",NA
"108","YST6_R_11_b_BA","YST6","R",11,"BA",8,10,13,0.26,0.23,0.3,31.6,"DDA2",NA
"109","YST6_R_11_b_FLC","YST6","R",11,"FLC",1,3,9,NA,0.75,0.73,6.1,"DDA2",NA
"110","YST6_R_12_a_BA","YST6","R",12,"BA",9,12,15,0.19,0.21,0.26,30.8,"DDA2",NA
"111","YST6_R_12_a_FLC","YST6","R",12,"FLC",2,8,13,0.45,0.58,0.61,8,"DDA2",NA
"112","YST6_R_12_b_BA","YST6","R",12,"BA",8,11,16,0.19,0.27,0.39,22.4,"DDA2",NA
"113","YST6_R_12_b_FLC","YST6","R",12,"FLC",5,15,25,0.43,0.58,0.49,9.8,"DDA2",NA
"114","YST6_R_2_a_BA","YST6","R",2,"BA",7,10,12,0.28,0.26,0.3,27.8,"DDA2",NA
"115","YST6_R_2_a_FLC","YST6","R",2,"FLC",1,7,23,NA,0.66,0.7,7.5,"DDA2",NA
"116","YST6_R_2_b_BA","YST6","R",2,"BA",10,13,16,0.16,0.2,0.27,33.1,"DDA2",NA
"117","YST6_R_2_b_FLC","YST6","R",2,"FLC",3,12,26,0.44,0.61,0.62,8.9,"DDA2",NA
"118","YST6_R_3_a_BA","YST6","R",3,"BA",10,12,19,0.11,0.15,0.37,28.6,"DDA2",NA
"119","YST6_R_3_a_FLC","YST6","R",3,"FLC",1,5,20,NA,0.62,0.76,6.3,"DDA2",NA
"120","YST6_R_3_b_BA","YST6","R",3,"BA",10,13,17,0.14,0.2,0.31,37.6,"DDA2",NA
"121","YST6_R_3_b_FLC","YST6","R",3,"FLC",3,12,26,0.35,0.62,0.6,8,"DDA2",NA
"122","YST6_R_4_a_BA","YST6","R",4,"BA",4,9,11,0.19,0.38,0.38,26.5,"DDA2",NA
"123","YST6_R_4_a_FLC","YST6","R",4,"FLC",3,7,21,0.47,0.51,0.66,9.2,"DDA2",NA
"124","YST6_R_4_b_BA","YST6","R",4,"BA",10,12,15,0.25,0.2,0.29,38.3,"DDA2",NA
"125","YST6_R_4_b_FLC","YST6","R",4,"FLC",3,5,13,0.77,0.43,0.65,9.6,"DDA2",NA
"126","YST6_R_5_a_BA","YST6","R",5,"BA",11,14,19,0.11,0.22,0.31,27,"DDA2",NA
"127","YST6_R_5_a_FLC","YST6","R",5,"FLC",1,4,14,NA,0.67,0.74,6.1,"DDA2",NA
"128","YST6_R_5_b_BA","YST6","R",5,"BA",10,13,18,0.19,0.24,0.34,25.9,"DDA2",NA
"129","YST6_R_5_b_FLC","YST6","R",5,"FLC",3,10,15,0.5,0.62,0.6,9.8,"DDA2",NA
"130","YST6_R_6_a_BA","YST6","R",6,"BA",8,11,13,0.17,0.23,0.26,26.3,"DDA2",NA
"131","YST6_R_6_a_FLC","YST6","R",6,"FLC",0,2,1,NA,0.68,NA,5.2,"DDA2",NA
"132","YST6_R_6_b_BA","YST6","R",6,"BA",8,11,13,0.22,0.24,0.27,28.2,"DDA2",NA
"133","YST6_R_6_b_FLC","YST6","R",6,"FLC",4,10,22,0.55,0.52,0.59,10.1,"DDA2",NA
"134","YST6_R_7_a_BA","YST6","R",7,"BA",9,11,14,0.16,0.19,0.28,33,"DDA2",NA
"135","YST6_R_7_a_FLC","YST6","R",7,"FLC",4,11,25,0.48,0.57,0.62,7.9,"DDA2",NA
"136","YST6_R_7_b_BA","YST6","R",7,"BA",7,10,12,0.26,0.29,0.28,30,"DDA2",NA
"137","YST6_R_7_b_FLC","YST6","R",7,"FLC",4,12,25,0.48,0.55,0.53,9.7,"DDA2",NA
"138","YST6_R_8_a_BA","YST6","R",8,"BA",8,11,15,0.26,0.25,0.35,25,"DDA2",NA
"139","YST6_R_8_a_FLC","YST6","R",8,"FLC",4,11,25,0.56,0.56,0.58,10.3,"DDA2",NA
"140","YST6_R_8_b_BA","YST6","R",8,"BA",10,12,16,0.17,0.2,0.29,33,"DDA2",NA
"141","YST6_R_8_b_FLC","YST6","R",8,"FLC",2,9,15,0.46,0.6,0.67,8.6,"DDA2",NA
"142","YST6_R_9_a_BA","YST6","R",9,"BA",10,13,17,0.19,0.22,0.31,40.1,"DDA2",NA
"143","YST6_R_9_a_FLC","YST6","R",9,"FLC",3,7,20,0.57,0.57,0.69,7.3,"DDA2",NA
"144","YST6_R_9_b_BA","YST6","R",9,"BA",11,13,17,0.16,0.17,0.29,26.4,"DDA2",NA
"145","YST6_R_9_b_FLC","YST6","R",9,"FLC",4,11,24,0.43,0.54,0.59,8.9,"DDA2",NA
"146","YST6_V_1_a_BA","YST6","V",1,"BA",10,12,16,0.2,0.19,0.32,30.7,"DDA2",NA
"147","YST6_V_1_a_FLC","YST6","V",1,"FLC",3,7,19,0.46,0.51,0.6,8.2,"DDA2",NA
"148","YST6_V_1_b_BA","YST6","V",1,"BA",7,10,15,0.16,0.24,0.39,24.9,"DDA2",NA
"149","YST6_V_1_b_FLC","YST6","V",1,"FLC",4,13,18,0.5,0.59,0.6,11.5,"DDA2",NA
"150","YST6_V_19_a_BA","YST6","V",19,"BA",10,12,16,0.12,0.16,0.29,26.8,"DDA2",NA
"151","YST6_V_19_a_FLC","YST6","V",19,"FLC",4,10,25,0.5,0.53,0.59,9.6,"DDA2",NA
"152","YST6_V_19_b_BA","YST6","V",19,"BA",9,12,17,0.29,0.27,0.38,28.4,"DDA2",NA
"153","YST6_V_19_b_FLC","YST6","V",19,"FLC",5,11,24,0.39,0.47,0.57,10.1,"DDA2",NA
"154","YST6_V_2_a_BA","YST6","V",2,"BA",7,9,14,0.17,0.23,0.4,22.5,"DDA2",NA
"155","YST6_V_2_a_FLC","YST6","V",2,"FLC",4,9,24,0.43,0.51,0.6,8.7,"DDA2",NA
"156","YST6_V_2_b_BA","YST6","V",2,"BA",11,14,19,0.11,0.18,0.3,29.6,"DDA2",NA
"157","YST6_V_2_b_FLC","YST6","V",2,"FLC",4,12,24,0.44,0.55,0.55,11.2,"DDA2",NA
"158","YST6_V_20_a_BA","YST6","V",20,"BA",8,11,15,0.2,0.23,0.33,31.8,"DDA2",NA
"159","YST6_V_20_a_FLC","YST6","V",20,"FLC",3,8,20,0.44,0.52,0.63,8.9,"DDA2",NA
"160","YST6_V_20_b_BA","YST6","V",20,"BA",9,12,18,0.14,0.2,0.35,26.4,"DDA2",NA
"161","YST6_V_20_b_FLC","YST6","V",20,"FLC",3,11,23,0.44,0.62,0.6,8.8,"DDA2",NA
"162","YST6_V_21_a_BA","YST6","V",21,"BA",9,12,15,0.15,0.2,0.28,31.5,"DDA2",NA
"163","YST6_V_21_a_FLC","YST6","V",21,"FLC",3,9,20,0.62,0.59,0.64,9.3,"DDA2",NA
"164","YST6_V_21_b_BA","YST6","V",21,"BA",8,10,13,0.18,0.19,0.29,25.2,"DDA2",NA
"165","YST6_V_21_b_FLC","YST6","V",21,"FLC",4,16,18,0.32,0.64,0.55,9.1,"DDA2",NA
"166","YST6_V_22_a_BA","YST6","V",22,"BA",10,12,18,0.14,0.17,0.34,25.2,"DDA2",NA
"167","YST6_V_22_b_BA","YST6","V",22,"BA",10,13,18,0.11,0.21,0.33,24.1,"DDA2",NA
"168","YST6_V_22_b_FLC","YST6","V",22,"FLC",5,14,24,0.39,0.52,0.53,11.1,"DDA2",NA
"169","YST6_V_23_a_BA","YST6","V",23,"BA",10,13,17,0.18,0.21,0.3,28.4,"DDA2",NA
"170","YST6_V_23_a_FLC","YST6","V",23,"FLC",4,11,23,0.42,0.5,0.56,12.3,"DDA2",NA
"171","YST6_V_23_b_BA","YST6","V",23,"BA",11,13,19,0.09,0.13,0.32,35,"DDA2",NA
"172","YST6_V_23_b_FLC","YST6","V",23,"FLC",6,12,22,0.41,0.46,0.54,13.8,"DDA2",NA
"173","YST6_V_24_a_BA","YST6","V",24,"BA",10,12,16,0.12,0.15,0.27,32.4,"DDA2",NA
"174","YST6_V_24_a_FLC","YST6","V",24,"FLC",6,12,25,0.42,0.46,0.57,13.5,"DDA2",NA
"175","YST6_V_24_b_BA","YST6","V",24,"BA",11,12,17,0.17,0.16,0.32,29.9,"DDA2",NA
"176","YST6_V_24_b_FLC","YST6","V",24,"FLC",1,2,10,NA,0.54,0.76,6.7,"DDA2",NA
"177","YST6_V_3_a_BA","YST6","V",3,"BA",11,13,18,0.14,0.17,0.31,31,"DDA2",NA
"178","YST6_V_3_a_FLC","YST6","V",3,"FLC",5,12,24,0.44,0.49,0.56,11.6,"DDA2",NA
"179","YST6_V_3_b_BA","YST6","V",3,"BA",10,12,14,0.21,0.17,0.23,38.7,"DDA2",NA
"180","YST6_V_3_b_FLC","YST6","V",3,"FLC",4,12,25,0.48,0.51,0.64,11.9,"DDA2",NA
"181","YST6_V_4_a_BA","YST6","V",4,"BA",10,13,18,0.2,0.25,0.37,25.8,"DDA2",NA
"182","YST6_V_4_a_FLC","YST6","V",4,"FLC",0,5,1,NA,0.77,NA,6.7,"DDA2",NA
"183","YST6_V_4_b_BA","YST6","V",4,"BA",10,12,17,0.14,0.18,0.35,26,"DDA2",NA
"184","YST6_V_4_b_FLC","YST6","V",4,"FLC",3,9,15,0.53,0.55,0.6,9.2,"DDA2",NA
"185","YST6_V_5_a_BA","YST6","V",5,"BA",9,12,16,0.16,0.21,0.32,23.4,"DDA2",NA
"186","YST6_V_5_a_FLC","YST6","V",5,"FLC",3,9,24,0.74,0.58,0.61,10.1,"DDA2",NA
"187","YST6_V_5_b_BA","YST6","V",5,"BA",9,12,16,0.12,0.2,0.32,30,"DDA2",NA
"188","YST6_V_5_b_FLC","YST6","V",5,"FLC",3,12,24,0.5,0.6,0.57,10.5,"DDA2",NA
"189","YST6_V_6_a_BA","YST6","V",6,"BA",10,13,19,0.14,0.22,0.36,31.5,"DDA2",NA
"190","YST6_V_6_a_FLC","YST6","V",6,"FLC",3,10,21,0.4,0.59,0.57,8.8,"DDA2",NA
"191","YST6_V_6_b_BA","YST6","V",6,"BA",11,13,17,0.13,0.17,0.26,25.8,"DDA2",NA
"192","YST6_V_6_b_FLC","YST6","V",6,"FLC",3,9,21,0.38,0.57,0.6,9.3,"DDA2",NA
"193","YST6_R_13_a_BA","YST6","R",13,"BA",9,11,14,0.14,0.17,0.26,24,"DDA3",NA
"194","YST6_R_13_a_FLC","YST6","R",13,"FLC",2,8,22,0.69,0.65,0.64,8.3,"DDA3",NA
"195","YST6_R_13_b_BA","YST6","R",13,"BA",10,12,16,0.17,0.2,0.31,22.4,"DDA3",NA
"196","YST6_R_13_b_FLC","YST6","R",13,"FLC",3,10,26,0.47,0.59,0.62,8.3,"DDA3",NA
"197","YST6_R_14_a_BA","YST6","R",14,"BA",9,11,14,0.18,0.2,0.27,25,"DDA3",NA
"198","YST6_R_14_a_FLC","YST6","R",14,"FLC",3,7,22,0.53,0.53,0.71,8.6,"DDA3",NA
"199","YST6_R_14_b_BA","YST6","R",14,"BA",10,12,15,0.15,0.17,0.26,30.1,"DDA3",NA
"200","YST6_R_14_b_FLC","YST6","R",14,"FLC",3,10,25,0.52,0.64,0.61,8.1,"DDA3",NA
"201","YST6_R_15_a_BA","YST6","R",15,"BA",8,11,15,0.24,0.24,0.34,22.4,"DDA3",NA
"202","YST6_R_15_a_FLC","YST6","R",15,"FLC",2,7,22,0.55,0.59,0.66,8,"DDA3",NA
"203","YST6_R_15_b_BA","YST6","R",15,"BA",10,13,20,0.13,0.19,0.39,17.4,"DDA3",NA
"204","YST6_R_15_b_FLC","YST6","R",15,"FLC",3,7,23,0.5,0.49,0.66,7,"DDA3",NA
"205","YST6_R_16_a_BA","YST6","R",16,"BA",9,11,15,0.11,0.16,0.29,24.6,"DDA3",NA
"206","YST6_R_16_a_FLC","YST6","R",16,"FLC",3,7,24,0.5,0.52,0.69,6.3,"DDA3",NA
"207","YST6_R_16_b_BA","YST6","R",16,"BA",8,11,18,0.16,0.22,0.44,20.4,"DDA3",NA
"208","YST6_R_16_b_FLC","YST6","R",16,"FLC",3,8,22,0.4,0.55,0.63,7.9,"DDA3",NA
"209","YST6_R_17_a_BA","YST6","R",17,"BA",11,12,20,0.14,0.14,0.41,20,"DDA3",NA
"210","YST6_R_17_a_FLC","YST6","R",17,"FLC",3,10,16,0.36,0.6,0.63,6.8,"DDA3",NA
"211","YST6_R_17_b_BA","YST6","R",17,"BA",8,10,15,0.24,0.21,0.37,20.2,"DDA3",NA
"212","YST6_R_17_b_FLC","YST6","R",17,"FLC",2,7,20,0.3,0.54,0.65,7.5,"DDA3",NA
"213","YST6_R_18_a_BA","YST6","R",18,"BA",8,11,17,0.22,0.25,0.41,24.2,"DDA3",NA
"214","YST6_R_18_a_FLC","YST6","R",18,"FLC",3,8,10,0.38,0.47,0.45,11.4,"DDA3",NA
"215","YST6_R_18_b_BA","YST6","R",18,"BA",12,14,21,0.14,0.15,0.35,28,"DDA3",NA
"216","YST6_R_18_b_FLC","YST6","R",18,"FLC",3,6,17,0.69,0.45,0.66,8.9,"DDA3",NA
"217","YST6_R_19_a_BA","YST6","R",19,"BA",9,12,14,0.17,0.2,0.23,29,"DDA3",NA
"218","YST6_R_19_a_FLC","YST6","R",19,"FLC",0,5,1,NA,0.63,NA,7,"DDA3",NA
"219","YST6_R_19_b_BA","YST6","R",19,"BA",10,12,15,0.13,0.17,0.26,29.2,"DDA3",NA
"220","YST6_R_19_b_FLC","YST6","R",19,"FLC",3,7,22,0.38,0.44,0.66,8.1,"DDA3",NA
"221","YST6_R_20_a_BA","YST6","R",20,"BA",11,13,16,0.15,0.16,0.26,31.6,"DDA3",NA
"222","YST6_R_20_a_FLC","YST6","R",20,"FLC",4,8,13,0.27,0.38,0.46,13.1,"DDA3",NA
"223","YST6_R_20_b_BA","YST6","R",20,"BA",10,12,15,0.12,0.15,0.25,31.9,"DDA3",NA
"224","YST6_R_20_b_FLC","YST6","R",20,"FLC",4,10,24,0.33,0.52,0.6,9.5,"DDA3",NA
"225","YST6_R_21_a_BA","YST6","R",21,"BA",12,14,17,0.09,0.14,0.23,31.1,"DDA3",NA
"226","YST6_R_21_a_FLC","YST6","R",21,"FLC",4,7,17,0.35,0.42,0.65,10.9,"DDA3",NA
"227","YST6_R_21_b_BA","YST6","R",21,"BA",10,13,16,0.15,0.21,0.26,30.5,"DDA3",NA
"228","YST6_R_21_b_FLC","YST6","R",21,"FLC",3,7,16,0.5,0.48,0.62,9.4,"DDA3",NA
"229","YST6_R_22_a_BA","YST6","R",22,"BA",10,13,15,0.13,0.22,0.24,34.9,"DDA3",NA
"230","YST6_R_22_a_FLC","YST6","R",22,"FLC",4,10,23,0.35,0.48,0.59,10,"DDA3",NA
"231","YST6_R_22_b_BA","YST6","R",22,"BA",9,12,14,0.1,0.22,0.24,28.6,"DDA3",NA
"232","YST6_R_22_b_FLC","YST6","R",22,"FLC",4,8,21,0.57,0.5,0.64,10,"DDA3",NA
"233","YST6_R_23_a_BA","YST6","R",23,"BA",11,13,20,0.13,0.17,0.4,25.5,"DDA3",NA
